Approved symbol	Gene group name	Gene group ID	Ensembl ID(supplied by Ensembl)
IGHV4-30-2	Immunoglobulin heavy locus at 14q32.33	349	
SNAR-A11	Small NF90 (ILF3) associated RNAs	1624	
SNAR-A9	Small NF90 (ILF3) associated RNAs	1624	
OR3A6			
MIR548BA	MicroRNA MIR548 family	1806	ENSG00000212036
SNAR-A4	Small NF90 (ILF3) associated RNAs	1624	
ITI			
CYRN2			
OR3A7			
CLG4B			
OR4H3P			
MDC			
P4HA			
MIR3156-3	MicroRNA MIR3156 family	1867	ENSG00000266211
SNAR-A6	Small NF90 (ILF3) associated RNAs	1624	
OR4H2P			
TACE			
OR1F4			
OR7C3			
SNAR-A8	Small NF90 (ILF3) associated RNAs	1624	
C11orf7			
BCL4			
CR3A			
SNAR-A13	Small NF90 (ILF3) associated RNAs	1624	
CRYB3			
FCT3A			
GPDS1			
MDR3			
PRKA1			
MIR4298	MicroRNAs	476	ENSG00000264493
PRKA2			
CENPC			
MIR3197	MicroRNAs	476	ENSG00000263681
MRS			
C20orf66			
MIR8054	MicroRNAs	476	ENSG00000275868
PVS			
ATA			
MIR8055	MicroRNAs	476	ENSG00000276580
CLCS			
CEAL1			
GLNS			
SNAR-A14	Small NF90 (ILF3) associated RNAs	1624	
ATP1AL1			
PENT			
MIR3924	MicroRNAs	476	ENSG00000264747
BAGE5	BAGE family	1848	
APS			
CD11B			
ACTL2			
THRA2			
EDS4A			
GCPS			
GLUT2			
ATPSB			
MIR8056	MicroRNAs	476	ENSG00000274994
MIR3907	MicroRNAs	476	ENSG00000265810
PLANH2			
CSNB1			
CSPB			
ERBAL3			
PEPN			
GLUT4			
MIR3914-1	MicroRNAs	476	ENSG00000265878
MIR8058	MicroRNAs	476	ENSG00000277387
NPRA			
MIR8060	MicroRNAs	476	ENSG00000278103
NPRB			
MIR3198-1	MicroRNA MIR3198 family	1870	ENSG00000264757
MIR8062	MicroRNAs	476	ENSG00000278159
MIR4299	MicroRNAs	476	ENSG00000266645
GLUT5			
GLUT6			
CRSP5			
MIR6770-2	MicroRNAs	476	ENSG00000277698
MIR1246	MicroRNAs	476	ENSG00000283203
IGO1			
MIR6859-2	MicroRNAs	476	ENSG00000273874
EPM1			
MIR6859-3	MicroRNAs	476	ENSG00000275449
MIR1248	MicroRNAs	476	ENSG00000283958
SDGF			
HOX3F			
MIR6072	MicroRNAs	476	ENSG00000278069
SNORA3C	Small nucleolar RNAs, H/ACA box	846	ENSG00000221719
QPRS			
ZNF299			
TTTY13C	Long non-coding RNAs with non-systematic symbols	1992	
ZNF301			
C10orf124			
MTC1			
MIR1302-7	MicroRNA MIR1302 family	1858	ENSG00000221768
MXRA6			
MIR6719	MicroRNAs	476	ENSG00000277759
GKP5			
GPR90			
ALFN1			
ERVH-3			
PCLD			
EIF3			
C16orf4			
C21orf1			
C21orf3			
SNORD63B	Small nucleolar RNAs, C/D box	845	ENSG00000222937
MIR6763	MicroRNAs	476	ENSG00000277052
ERVW-2			
SNORD74B	Small nucleolar RNAs, C/D box	845	ENSG00000201025
CMD1A			
MIR6807	MicroRNAs	476	ENSG00000275924
C7orf1			
MIR6829	MicroRNAs	476	ENSG00000276489
PIRC107	Piwi-interacting RNA clusters	851	
PIRC62	Piwi-interacting RNA clusters	851	
PIRC1	Piwi-interacting RNA clusters	851	
TCF13			
KHRBP1			
PIRC3	Piwi-interacting RNA clusters	851	
MIR6850	MicroRNAs	476	ENSG00000283764
AZF2			
TCF13L1			
SNORD3E	Small nucleolar RNAs, C/D box	845	ENSG00000280704
MIR6511B2	MicroRNAs	476	ENSG00000283346
SNORD3H	Small nucleolar RNAs, C/D box	845	ENSG00000207215
SNORD3K	Small nucleolar RNAs, C/D box	845	
PPARAL			
THOP2			
DDX7			
PIK3R1OS			
MIR6750	MicroRNAs	476	ENSG00000274986
MIR6757	MicroRNAs	476	ENSG00000278108
MIR6773	MicroRNAs	476	ENSG00000284259
MIR6780A	MicroRNAs	476	ENSG00000275273
MIR6794	MicroRNAs	476	ENSG00000276181
ERVK3			
MECL1			
UBE2V			
MIR6810	MicroRNAs	476	ENSG00000278524
FACA			
FACC			
C11orf81			
FOLH2			
MIR1279	MicroRNAs	476	ENSG00000283476
IBM3			
MIR6817	MicroRNAs	476	ENSG00000277872
MIR6825	MicroRNAs	476	ENSG00000275067
FRA7G			
SNORD13E	Small nucleolar RNAs, C/D box	845	ENSG00000238311
STK6			
MIR6844	MicroRNAs	476	ENSG00000284087
CMD1D			
MIR6853	MicroRNAs	476	ENSG00000273945
MIR6769B	MicroRNAs	476	ENSG00000278465
CMD1F			
SNORD13B-2	Small nucleolar RNAs, C/D box	845	
ZNF171			
MIR1297	MicroRNAs	476	ENSG00000283126
ZNF172			
MIR6874	MicroRNAs	476	ENSG00000283419
TSTA1			
MIR1243	MicroRNAs	476	ENSG00000283193
MIR6880	MicroRNAs	476	ENSG00000275967
ZNF194			
FACD			
EEC2			
SDIM1			
FACE			
MIR6887	MicroRNAs	476	ENSG00000284065
FRA11D			
MIR7106	MicroRNAs	476	ENSG00000276908
MIR7114	MicroRNAs	476	ENSG00000284317
MIR6130	MicroRNAs	476	ENSG00000275469
HCL3			
C20orf176			
C19orf8			
SNORD13H	Small nucleolar RNAs, C/D box	845	
C6orf36			
MIR1322	MicroRNAs	476	ENSG00000283210
SPG3B			
MIR7847	MicroRNAs	476	ENSG00000284594
LRP7			
LW			
TLCN			
BDB			
MIR1206	MicroRNAs	476	ENSG00000283200
MIR1321	MicroRNAs	476	ENSG00000283435
CMH4			
MIR5739	MicroRNAs	476	ENSG00000276162
MIR6075	MicroRNAs	476	ENSG00000273742
ZNF188			
MIR6090	MicroRNAs	476	ENSG00000276176
MIR548AZ	MicroRNA MIR548 family	1806	ENSG00000276479
MIR6715A	MicroRNAs	476	ENSG00000276857
HPC1			
SNORD13B-1	Small nucleolar RNAs, C/D box	845	
CYorf15B			
PRIM2B			
MIR3199-1	MicroRNAs	476	ENSG00000264073
MIR6721	MicroRNAs	476	ENSG00000284469
MIR6736	MicroRNAs	476	ENSG00000278549
PLANH3			
EIF4F			
MIR6508	MicroRNAs	476	ENSG00000275523
ERF1			
HTRL			
ACTA3			
MFS1			
LINC01012	Long intergenic non-protein coding RNAs	1986	
HOX4H			
IL15RB			
CRYB2A			
STD			
ZNF176			
IBD2			
FRA11G			
CRYB2B			
LGTN			
FRA11H			
MIR7162	MicroRNAs	476	ENSG00000284277
STM			
EBD1			
MIR1234	MicroRNAs	476	ENSG00000284139
MIR6729	MicroRNAs	476	ENSG00000276869
EBR1			
MIR7515	MicroRNAs	476	ENSG00000283394
BAGE	BAGE family	1848	
ZNF182L			
G6PT3			
AUTS1			
MIR1273H	MicroRNAs	476	ENSG00000274466
ZFP112			
GAGE4	GAGE family	1845	
PCAP			
FRA12B			
ERVK-16			
PDB2			
ARVD5			
ERVK-12			
ERVH-2			
MIR7973-1	MicroRNAs	476	ENSG00000278098
ZNF241			
EBR2A			
MIR8061	MicroRNAs	476	ENSG00000277636
MIR6766	MicroRNAs	476	ENSG00000275101
MIR8069-1	MicroRNAs	476	ENSG00000284550
EBS3			
NEGF2			
MIR8076	MicroRNAs	476	ENSG00000275670
ZNF240			
C21orf98			
MIR6770-3	MicroRNAs	476	ENSG00000275391
DHRS6			
ERVK11-1			
KIAA1618			
XRCC6BP2			
ALS2CR6			
C21orf85			
STP1			
FRA13A			
MIR6511A1	MicroRNAs	476	ENSG00000275259
MIR6741	MicroRNAs	476	ENSG00000284519
STP2			
MIR1827	MicroRNAs	476	ENSG00000221476
ARH6			
MIR6893	MicroRNAs	476	ENSG00000276598
C21orf95			
SNORD175	Small nucleolar RNAs, C/D box	845	
SNORD158	Small nucleolar RNAs, C/D box	845	
CHS1			
RASGEF2			
PEPS			
MIR1291	MicroRNAs	476	ENSG00000281842
APOAL			
C21orf86			
CXorf3			
C14orf7			
SLC4A7OS			
CLDN11CL			
IFI54			
OR2A27			
C14orf62			
FRA13B			
SNORD172	Small nucleolar RNAs, C/D box	845	
FRA13C			
MTACR1			
RBTNL2			
MIR6801	MicroRNAs	476	ENSG00000274380
CDC2L3			
SNORD145	Small nucleolar RNAs, C/D box	845	
MPSL1			
DRD1L2			
HSCR2			
NAC			
SNORA115	Small nucleolar RNAs, H/ACA box	846	
ADMLY			
MIR6127	MicroRNAs	476	ENSG00000276835
MIR103B1	MicroRNA MIR103/107 family	1754	ENSG00000283612
MIR6132	MicroRNAs	476	ENSG00000283923
MIR6500	MicroRNAs	476	ENSG00000275816
HPE3			
SNORA118	Small nucleolar RNAs, H/ACA box	846	
SHFD1			
SNORD146	Small nucleolar RNAs, C/D box	845	
MIR6505	MicroRNAs	476	ENSG00000275770
A2MR			
ADMLX			
GAGE7	GAGE family	1845	
FCGR2A1			
RBTNL1			
MIR6510	MicroRNAs	476	ENSG00000283796
EBS4			
CJD			
MIR6515	MicroRNAs	476	ENSG00000274417
CLG1			
CKN1			
MIR6716	MicroRNAs	476	ENSG00000284246
MIR6720	MicroRNAs	476	ENSG00000275859
ALAS3			
ATPL			
SNORD149	Small nucleolar RNAs, C/D box	845	
MIR4313	MicroRNAs	476	ENSG00000284385
BNSP			
FRA22B			
SNORD153	Small nucleolar RNAs, C/D box	845	
GLYT2L			
KGFR			
SNORD164	Small nucleolar RNAs, C/D box	845	
M6S1			
MIR1264	MicroRNA MIR95 family	1767	ENSG00000276158
PTPTP1			
XPD			
MLM			
STMY3			
SNORD152	Small nucleolar RNAs, C/D box	845	
KIR2DL2	Killer cell immunoglobulin like receptors|CD molecules	620|471	
KIR2DS2	Killer cell immunoglobulin like receptors|CD molecules	620|471	
KIR2DS3	Killer cell immunoglobulin like receptors	620	
KIR2DS5	CD molecules|Killer cell immunoglobulin like receptors	471|620	
MOX44			
MIR1302-1	MicroRNA MIR1302 family	1858	ENSG00000283507
SNORD154	Small nucleolar RNAs, C/D box	845	
ARP1			
MIR1199	MicroRNAs	476	ENSG00000284081
ATDC			
CD49B			
SNORD156	Small nucleolar RNAs, C/D box	845	
NEM2			
SNORD173	Small nucleolar RNAs, C/D box	845	
PRKCB2			
MIR6071	MicroRNAs	476	ENSG00000278783
YWHA1			
SNORA112	Small nucleolar RNAs, H/ACA box	846	
MIR664A	MicroRNA MIR664 family	1809	ENSG00000281696
APOJ			
MIR6081	MicroRNAs	476	ENSG00000274115
MIR6086	MicroRNAs	476	ENSG00000283493
LCD1			
FRAXC			
NCX1			
LINC02597	Long intergenic non-protein coding RNAs	1986	
CALNB			
ZNF51			
IBP1			
MIR1539	MicroRNAs	476	ENSG00000284239
MIC3			
SNORA114	Small nucleolar RNAs, H/ACA box	846	
NFKB3			
HGFL			
MIR2052	MicroRNAs	476	ENSG00000283188
GFRP1			
SML1			
MIR1910	MicroRNAs	476	ENSG00000283416
MIR892C	MicroRNA MIR888 family	1796	ENSG00000252219
STHE			
MIR2054	MicroRNAs	476	ENSG00000283550
DIR			
MIR6730	MicroRNAs	476	ENSG00000276830
MIR6734	MicroRNAs	476	ENSG00000283836
SNORA120	Small nucleolar RNAs, H/ACA box	846	
LINC01377	Long intergenic non-protein coding RNAs	1986	
MIR6739	MicroRNAs	476	ENSG00000277681
ZNF427			
BPAG2			
PCDH23			
PTTG1IP2			
GLUR1			
ATS			
TAN1			
GLUR2			
LMN2			
CALNA			
ERVK-26			
ZFP106			
LINC01461	Long intergenic non-protein coding RNAs	1986	
KRTAP18-1			
KRTAP18-5			
DALIR	Long non-coding RNAs with non-systematic symbols	1992	
MIR6744	MicroRNAs	476	ENSG00000275669
KRTAP18-9			
GCNT5			
MIR6745	MicroRNAs	476	ENSG00000275208
SPANXF1			
TST1			
GLBA			
GLUT3			
HHH			
F8VWFP			
FLT2			
GGTB2			
EBN1			
CAGA			
CAGB			
XPF			
CRYG8			
MYF3			
IGKVPZ1			
MIR5583-1	MicroRNAs	476	ENSG00000266148
IGKVPZ2			
IGKVPZ3			
IGKVPZ4			
GUD			
PDDR			
BCH			
TAX1BP2			
SD			
MIR8064	MicroRNAs	476	ENSG00000275789
MIR8065	MicroRNAs	476	ENSG00000273648
G10P2			
MIR8066	MicroRNAs	476	ENSG00000273882
G13P1			
MIR8067	MicroRNAs	476	ENSG00000277919
G1P1			
KROX20			
SMCR9			
LYAM1			
MIR5006	MicroRNAs	476	ENSG00000284584
APR			
MIR8070	MicroRNAs	476	ENSG00000278529
APY			
GAGE5	GAGE family	1845	
ATPSBL1			
MIR8071-1	MicroRNAs	476	ENSG00000274172
GAGE6	GAGE family	1845	
MIR4266	MicroRNAs	476	ENSG00000265965
MIR4254	MicroRNAs	476	ENSG00000266580
BAGE3	BAGE family	1848	
BAGE4	BAGE family	1848	
MIR3163	MicroRNAs	476	ENSG00000266423
CAPL			
DLTA			
DMDL			
NEF4			
RPS26P50			
MIR3126	MicroRNAs	476	ENSG00000266649
IGL	Immunoglobulin lambda locus at 22q11.2	353	
FOXL3-OT1	Overlapping transcripts	1988	
NEF5			
MEF			
HOX7			
EBS2			
MIR4321	MicroRNAs	476	ENSG00000284272
HOX3E			
MIR3121	MicroRNAs	476	ENSG00000265435
FAM27E2	Long non-coding RNAs with FAM root symbol	1993	
SVP65			
HOX10			
GJAL			
CYP3A3			
FAM95C	Long non-coding RNAs with FAM root symbol	1993	ENSG00000283486
MIR8080	MicroRNAs	476	ENSG00000276917
ANP			
MIR3606	MicroRNAs	476	ENSG00000284180
MDF2			
MIR8082	MicroRNAs	476	ENSG00000275810
ERV18-1			
MIR8085	MicroRNAs	476	ENSG00000284258
MSK12			
MIR8086	MicroRNAs	476	ENSG00000275036
ERCM2			
MIR8087	MicroRNAs	476	ENSG00000278483
SNRPB1			
HOX1A			
CASB			
UGT1A	UDP glucuronosyltransferases	363	
HOX1B			
HOX1C			
TRN-GTT2-8	Cytoplasmic transfer RNAs	842	
HOX1D			
HOX1E			
MIR8073	MicroRNAs	476	ENSG00000276765
ELAM1			
MIR8074	MicroRNAs	476	ENSG00000278617
GSTPL			
HIGM1			
HSPG1			
LGMD2			
LNHR			
TAS2R45	Taste 2 receptors	1162	ENSG00000255374
MIR8075	MicroRNAs	476	ENSG00000277942
MEN2B			
